*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .4097    
  -12.00    ,    .2488    
  -8.000    ,    .1449    
  -4.000    ,    .1043    
  -2.000    ,    .1088    
    .000    ,    .1324    
   2.000    ,    .1746    
   4.000    ,    .2374    
   6.000    ,    .3078    
   8.000    ,    .3814    

Alpha, CL
  -16.00    ,   -5.896    
  -12.00    ,   -3.930    
  -8.000    ,   -1.889    
  -4.000    ,    .1399    
  -2.000    ,    1.172    
    .000    ,    2.225    
   2.000    ,    3.299    
   4.000    ,    4.396    
   6.000    ,    5.349    
   8.000    ,    6.142    

Alpha, Cm
  -16.00    ,    .2681E-01
  -12.00    ,    .6370    
  -8.000    ,    1.017    
  -4.000    ,    1.125    
  -2.000    ,    1.138    
    .000    ,    1.121    
   2.000    ,    1.061    
   4.000    ,    .9460    
   6.000    ,    .7037    
   8.000    ,    .3524    

Alpha, Cyb
  -16.00    ,   -.6554E-01
  -12.00    ,   -.6554E-01
  -8.000    ,   -.6554E-01
  -4.000    ,   -.6554E-01
  -2.000    ,   -.6554E-01
    .000    ,   -.6554E-01
   2.000    ,   -.6554E-01
   4.000    ,   -.6554E-01
   6.000    ,   -.6554E-01
   8.000    ,   -.6554E-01

Alpha, Cnb
  -16.00    ,    .2218E-01
  -12.00    ,    .2218E-01
  -8.000    ,    .2218E-01
  -4.000    ,    .2218E-01
  -2.000    ,    .2218E-01
    .000    ,    .2218E-01
   2.000    ,    .2218E-01
   4.000    ,    .2218E-01
   6.000    ,    .2218E-01
   8.000    ,    .2218E-01

Alpha, Clb
  -16.00    ,   -.3813E-01
  -12.00    ,   -.3753E-01
  -8.000    ,   -.3721E-01
  -4.000    ,   -.3706E-01
  -2.000    ,   -.3699E-01
    .000    ,   -.3693E-01
   2.000    ,   -.3686E-01
   4.000    ,   -.3679E-01
   6.000    ,   -.3658E-01
   8.000    ,   -.3620E-01

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -12.00    ,    1.000    
  -8.000    ,    1.000    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   6.000    ,    1.000    
   8.000    ,    1.000    

Alpha, Epslon
  -16.00    ,   -4.585    
  -12.00    ,   -2.899    
  -8.000    ,   -1.105    
  -4.000    ,    .7318    
  -2.000    ,    1.693    
    .000    ,    2.682    
   2.000    ,    3.647    
   4.000    ,    4.563    
   6.000    ,    5.372    
   8.000    ,    6.102    

Alpha, d_Epslon
  -16.00    ,    .4214    
  -12.00    ,    .4349    
  -8.000    ,    .4539    
  -4.000    ,    .4735    
  -2.000    ,    .4876    
    .000    ,    .4885    
   2.000    ,    .4701    
   4.000    ,    .4312    
   6.000    ,    .3848    
   8.000    ,    .3651    

Alpha, CLq
  -16.00    ,    .1815    
  -12.00    ,    .1815    
  -8.000    ,    .1815    
  -4.000    ,    .1815    
  -2.000    ,    .1815    
    .000    ,    .1815    
   2.000    ,    .1815    
   4.000    ,    .1815    
   6.000    ,    .1815    
   8.000    ,    .1815    

Alpha, Cmq
  -16.00    ,   -.4943    
  -12.00    ,   -.4943    
  -8.000    ,   -.4943    
  -4.000    ,   -.4943    
  -2.000    ,   -.4943    
    .000    ,   -.4943    
   2.000    ,   -.4943    
   4.000    ,   -.4943    
   6.000    ,   -.4943    
   8.000    ,   -.4943    

Alpha, CLad_Basic
  -16.00    ,    .4329E-01
  -12.00    ,    .4468E-01
  -8.000    ,    .4663E-01
  -4.000    ,    .4864E-01
  -2.000    ,    .5009E-01
    .000    ,    .5018E-01
   2.000    ,    .4830E-01
   4.000    ,    .4430E-01
   6.000    ,    .3953E-01
   8.000    ,    .3751E-01

Alpha, Cmad_Basic
  -16.00    ,   -.1586    
  -12.00    ,   -.1637    
  -8.000    ,   -.1708    
  -4.000    ,   -.1782    
  -2.000    ,   -.1835    
    .000    ,   -.1838    
   2.000    ,   -.1769    
   4.000    ,   -.1623    
   6.000    ,   -.1448    
   8.000    ,   -.1374    

Alpha, Clp
  -16.00    ,   -.4311    
  -12.00    ,   -.4400    
  -8.000    ,   -.4383    
  -4.000    ,   -.4385    
  -2.000    ,   -.4462    
    .000    ,   -.4533    
   2.000    ,   -.4568    
   4.000    ,   -.4136    
   6.000    ,   -.3272    
   8.000    ,   -.2426    

Alpha, Cyp
  -16.00    ,   -.1461E-01
  -12.00    ,   -.1805E-01
  -8.000    ,   -.2150E-01
  -4.000    ,   -.2454E-01
